Month-Year,Total Casualties
1979-01,23710
1979-02,20542
1979-03,26197
1979-04,24989
1979-05,28681
1979-06,26993
1979-07,28717
1979-08,30228
1979-09,29858
1979-10,30828
1979-11,31567
1979-12,32203
1980-01,24912
1980-02,22647
1980-03,25939
1980-04,24184
1980-05,27667
1980-06,27446
1980-07,28778
1980-08,28841
1980-09,28616
1980-10,31077
1980-11,28480
1980-12,28145
1981-01,23671
1981-02,22648
1981-03,26521
1981-04,24901
1981-05,27575
1981-06,26538
1981-07,29518
1981-08,28429
1981-09,30181
1981-10,31984
1981-11,29035
1981-12,23839
1982-01,21553
1982-02,22202
1982-03,26486
1982-04,25347
1982-05,27964
1982-06,28497
1982-07,29421
1982-08,30590
1982-09,29481
1982-10,31048
1982-11,31964
1982-12,29778
1983-01,23574
1983-02,19560
1983-03,24001
1983-04,24569
1983-05,25934
1983-06,26119
1983-07,28511
1983-08,26595
1983-09,27171
1983-10,28971
1983-11,26736
1983-12,26843
1984-01,23616
1984-02,21782
1984-03,23964
1984-04,24078
1984-05,27217
1984-06,27829
1984-07,28875
1984-08,27804
1984-09,28207
1984-10,30246
1984-11,31836
1984-12,28860
1985-01,21004
1985-02,19986
1985-03,24520
1985-04,23984
1985-05,26503
1985-06,27134
1985-07,29037
1985-08,29596
1985-09,27305
1985-10,29104
1985-11,32024
1985-12,27327
1986-01,24303
1986-02,20429
1986-03,25145
1986-04,24154
1986-05,28382
1986-06,25789
1986-07,28158
1986-08,28548
1986-09,25623
1986-10,30844
1986-11,30633
1986-12,29481
1987-01,18960
1987-02,20989
1987-03,23824
1987-04,23916
1987-05,26481
1987-06,27507
1987-07,28573
1987-08,28362
1987-09,27839
1987-10,30453
1987-11,27809
1987-12,26760
1988-01,26023
1988-02,23069
1988-03,25656
1988-04,23276
1988-05,27160
1988-06,25248
1988-07,29010
1988-08,27844
1988-09,28134
1988-10,30397
1988-11,30312
1988-12,26176
1989-01,26133
1989-02,25154
1989-03,26541
1989-04,26275
1989-05,28021
1989-06,29009
1989-07,29300
1989-08,29997
1989-09,28450
1989-10,32389
1989-11,31422
1989-12,28901
1990-01,28259
1990-02,26135
1990-03,26620
1990-04,27330
1990-05,28541
1990-06,28648
1990-07,29069
1990-08,28738
1990-09,29243
1990-10,30383
1990-11,30709
1990-12,27461
1991-01,26181
1991-02,19855
1991-03,24207
1991-04,24791
1991-05,24776
1991-06,28166
1991-07,27421
1991-08,27248
1991-09,27014
1991-10,26836
1991-11,29420
1991-12,25451
1992-01,25010
1992-02,21949
1992-03,24805
1992-04,24273
1992-05,26124
1992-06,25017
1992-07,26975
1992-08,27265
1992-09,25973
1992-10,27092
1992-11,28748
1992-12,27520
1993-01,23810
1993-02,20226
1993-03,23156
1993-04,24531
1993-05,26678
1993-06,25330
1993-07,27649
1993-08,25198
1993-09,26750
1993-10,26909
1993-11,27622
1993-12,28276
1994-01,25742
1994-02,23033
1994-03,24763
1994-04,24404
1994-05,25245
1994-06,25336
1994-07,26699
1994-08,26179
1994-09,26482
1994-10,29577
1994-11,28256
1994-12,29643
1995-01,24512
1995-02,23042
1995-03,25907
1995-04,22326
1995-05,24997
1995-06,25098
1995-07,26108
1995-08,26816
1995-09,28554
1995-10,27245
1995-11,28756
1995-12,27326
1996-01,23309
1996-02,25099
1996-03,23790
1996-04,24724
1996-05,25880
1996-06,25877
1996-07,27374
1996-08,27591
1996-09,26653
1996-10,30546
1996-11,31439
1996-12,28296
1997-01,25143
1997-02,24471
1997-03,25730
1997-04,25575
1997-05,27317
1997-06,28394
1997-07,28087
1997-08,27956
1997-09,25508
1997-10,29967
1997-11,31005
1997-12,28649
1998-01,25583
1998-02,22918
1998-03,25560
1998-04,25677
1998-05,26329
1998-06,28596
1998-07,26851
1998-08,27856
1998-09,27173
1998-10,30636
1998-11,29829
1998-12,28204
1999-01,26284
1999-02,22410
1999-03,25425
1999-04,25185
1999-05,25231
1999-06,26640
1999-07,26775
1999-08,27019
1999-09,28210
1999-10,28405
1999-11,29404
1999-12,29322
2000-01,26385
2000-02,24580
2000-03,24094
2000-04,26187
2000-05,27791
2000-06,24597
2000-07,26088
2000-08,26563
2000-09,26735
2000-10,28953
2000-11,30515
2000-12,27795
2001-01,27148
2001-02,23813
2001-03,23855
2001-04,23723
2001-05,26039
2001-06,25452
2001-07,26274
2001-08,26419
2001-09,25781
2001-10,27975
2001-11,28863
2001-12,27967
2002-01,23634
2002-02,23355
2002-03,23848
2002-04,23364
2002-05,25435
2002-06,23604
2002-07,25947
2002-08,24697
2002-09,24934
2002-10,28919
2002-11,28732
2002-12,26136
2003-01,23590
2003-02,21835
2003-03,22369
2003-04,22407
2003-05,24477
2003-06,24360
2003-07,25396
2003-08,23964
2003-09,25321
2003-10,26568
2003-11,26083
2003-12,24237
2004-01,23225
2004-02,20311
2004-03,22278
2004-04,22089
2004-05,23698
2004-06,23643
2004-07,22764
2004-08,23920
2004-09,24059
2004-10,25785
2004-11,24477
2004-12,24591
2005-01,22055
2005-02,19617
2005-03,20365
2005-04,21396
2005-05,23206
2005-06,22945
2005-07,23280
2005-08,22761
2005-09,22575
2005-10,23916
2005-11,25315
2005-12,23586
2006-01,20190
2006-02,19108
2006-03,20060
2006-04,19148
2006-05,21905
2006-06,21541
2006-07,23041
2006-08,21392
2006-09,22900
2006-10,23271
2006-11,23579
2006-12,22269
2007-01,20762
2007-02,17872
2007-03,20349
2007-04,19232
2007-05,21747
2007-06,21209
2007-07,21846
2007-08,21007
2007-09,20709
2007-10,20877
2007-11,22134
2007-12,20036
2008-01,18940
2008-02,19189
2008-03,18337
2008-04,18286
2008-05,19422
2008-06,19129
2008-07,19761
2008-08,18680
2008-09,19388
2008-10,21029
2008-11,19905
2008-12,18839
2009-01,18173
2009-02,14648
2009-03,17815
2009-04,17335
2009-05,18852
2009-06,18728
2009-07,19682
2009-08,18797
2009-09,18456
2009-10,20109
2009-11,20975
2009-12,18576
2010-01,14012
2010-02,15802
2010-03,17648
2010-04,16744
2010-05,17849
2010-06,18328
2010-07,18381
2010-08,18030
2010-09,18694
2010-10,19427
2010-11,19635
2010-12,14098
2011-01,15714
2011-02,14951
2011-03,16570
2011-04,16876
2011-05,17004
2011-06,17700
2011-07,17769
2011-08,16625
2011-09,17842
2011-10,18479
2011-11,17376
2011-12,17044
2012-01,15722
2012-02,14675
2012-03,16193
2012-04,14849
2012-05,16776
2012-06,15741
2012-07,17290
2012-08,16167
2012-09,17388
2012-10,17544
2012-11,17569
2012-12,15809
2013-01,13396
2013-02,12726
2013-03,13629
2013-04,13225
2013-05,15266
2013-06,15729
2013-07,17265
2013-08,16047
2013-09,15882
2013-10,17457
2013-11,17331
2013-12,15717
2014-01,15826
2014-02,14267
2014-03,15800
2014-04,14844
2014-05,16464
2014-06,16715
2014-07,17412
2014-08,16610
2014-09,15442
2014-10,17717
2014-11,17408
2014-12,15972
2015-01,15059
2015-02,13621
2015-03,14468
2015-04,14523
2015-05,15099
2015-06,16018
2015-07,17284
2015-08,15910
2015-09,16172
2015-10,16382
2015-11,16209
2015-12,15444
2016-01,15387
2016-02,14083
2016-03,14375
2016-04,14129
2016-05,15283
2016-06,14893
2016-07,15850
2016-08,15514
2016-09,15198
2016-10,15564
2016-11,16438
2016-12,14670
2017-01,14491
2017-02,12715
2017-03,14049
2017-04,13082
2017-05,14215
2017-06,14694
2017-07,15254
2017-08,14004
2017-09,14522
2017-10,14586
2017-11,15523
2017-12,13858
2018-01,12985
2018-02,12005
2018-03,11573
2018-04,12018
2018-05,14647
2018-06,14417
2018-07,14720
2018-08,12995
2018-09,13728
2018-10,14162
2018-11,14321
2018-12,13026
2019-01,12063
2019-02,11345
2019-03,12134
2019-04,11846
2019-05,12738
2019-06,12956
2019-07,13587
2019-08,12864
2019-09,13253
2019-10,13347
2019-11,14083
2019-12,12942
2020-01,12339
2020-02,11122
2020-03,8292
2020-04,3906
2020-05,6929
2020-06,8537
2020-07,10377
2020-08,11545
2020-09,11681
2020-10,11121
2020-11,9503
2020-12,10232
2021-01,6920
2021-02,6513
2021-03,8456
2021-04,10645
2021-05,11712
2021-06,12215
2021-07,12407
2021-08,11336
2021-09,12416
2021-10,12289
2021-11,12556
2021-12,10744
2022-01,11559
2022-02,9796
2022-03,11049
2022-04,10209
2022-05,11654
2022-06,11827
2022-07,11956
2022-08,11733
2022-09,11214
2022-10,11904
2022-11,12055
2022-12,10524
2023-01,11025
2023-02,9501
2023-03,10347
2023-04,9988
2023-05,11665
2023-06,12477
2023-07,11909
2023-08,10976
2023-09,11414
2023-10,11498
2023-11,11490
2023-12,10687
